domain,pnas,populist,media_bias_fact_check,twitterfakenewslabel,opensource
euronews.com,commercial broadcaster,commercial broadcaster,center,,
europapress.es,quality newspaper/magazine,,,,
europe1.fr,commercial broadcaster,,,,
expansion.com,quality newspaper/magazine,,,,
express.de,tabloid newspaper,tabloid newspaper ,,,
fanpage.it,digital-born news outlet,,,,
faz.net,quality newspaper/magazine,quality newspapers/magazines,,,
fdesouche.com,hyperpartisan media,,,,
finanzen.net,digital-born news outlet,online only media ,,,
fnp.de,quality newspaper/magazine,quality newspapers/magazines,,,
focus.de,quality newspaper/magazine,quality newspapers/magazines,,,
fr.de,quality newspaper/magazine,quality newspapers/magazines,,,
france.tv,public broadcaster,,,,
france24.com,public broadcaster,,leftcenter,,
france3.fr,public broadcaster,,,,
francebleu.fr,public broadcaster,,,,
franceculture.fr,public broadcaster,,,,
franceinter.fr,public broadcaster,,,,
francesoir.fr,digital-born news outlet,,,,
francetelevisions.fr,public broadcaster,,,,
francetv.fr,public broadcaster,,,,
francetvinfo.fr,public broadcaster,,,,
freiepresse.de,quality newspaper/magazine,quality newspapers/magazines,,,
gaceta.es,hyperpartisan media,,,,
gasteizhoy.com,digital-born news outlet,,,,
gazzettadelsud.it,quality newspaper/magazine,,,,
gazzettadiparma.it,quality newspaper/magazine,,,,
giornaledibrescia.it,quality newspaper/magazine,,,,
giornaledilecco.it,quality newspaper/magazine,,,,
giornaledimonza.it,quality newspaper/magazine,,,,
giornaletrentino.it,quality newspaper/magazine,,,,
giornalone.it,quality newspaper/magazine,,,,
granadahoy.com,quality newspaper/magazine,,,,
handelsblatt.com,quality newspaper/magazine,quality newspapers/magazines,,,
haz.de,quality newspaper/magazine,quality newspapers/magazines,,,
heraldo.es,quality newspaper/magazine,,,,
hna.de,quality newspaper/magazine,quality newspapers/magazines,,,
hoy.es,quality newspaper/magazine,,,,
hr-fernsehen.de,public broadcaster,public broadcaster,,,
huelvainformacion.es,quality newspaper/magazine,,,,
huffingtonpost.es,digital-born news outlet,,,,
huffingtonpost.fr,digital-born news outlet,,,,
huffingtonpost.it,digital-born news outlet,,,,
humanite.fr,quality newspaper/magazine,,,,
ideal.es,quality newspaper/magazine,,,,
ilcorrieredellacitta.com,quality newspaper/magazine,,,,
ilfattoquotidiano.it,quality newspaper/magazine,,,,
ilfoglio.it,quality newspaper/magazine,,,,
ilgazzettino.it,quality newspaper/magazine,,,,
ilgiornale.it,quality newspaper/magazine,,,,
ilgiorno.it,quality newspaper/magazine,,,,
ilmanifesto.it,quality newspaper/magazine,,,,
ilmattino.it,quality newspaper/magazine,,,,
ilmessaggero.it,quality newspaper/magazine,,,,
