domain,pnas,populist,media_bias_fact_check,twitterfakenewslabel,opensource
hopkinsmedicine.org,,,pro-science,,
livescience.com,,,pro-science,,
mayoclinic.org,,,pro-science,,
medicaldaily.com,,,pro-science,,
medicalnewstoday.com,,,pro-science,,
medicalxpress.com,,,pro-science,,
medscape.com,,,pro-science,,
mentaldaily.com,,,pro-science,,
technologyreview.com,,,pro-science,,
mosaicscience.com,,,pro-science,,
nasa.gov,,,pro-science,,
nationalacademyofsciences.org,,,pro-science,,
noaa.gov,,,pro-science,,
nationalgeographic.com,,,pro-science,,
nih.gov,,,pro-science,,
nature.com,,,pro-science,,
nautil.us,,,pro-science,,
neurosciencenews.com,,,pro-science,,
newatlas.com,,,pro-science,,
theness.com,,,pro-science,,
newhumanist.org.uk,,,pro-science,,
newscientist.com,,,pro-science,,
nextbigfuture.com,,,pro-science,,
nextobserver.com,,,pro-science,,
oceana.org,,,pro-science,,
paho.org,,,pro-science,,
phys.org,,,pro-science,,
ispp.org,,,pro-science,,
popularmechanics.com,,,pro-science,,
popsci.com,,,pro-science,,
precisionvaccinations.com,,,pro-science,,
pnas.org,,,pro-science,,
psychologytoday.com,,,pro-science,,
psypost.org,,,pro-science,,
plos.org,,,pro-science,,
quackwatch.org,,,pro-science,,
quantamagazine.org,,,pro-science,,
realclearscience.com,,,pro-science,,
realclimate.org,,,pro-science,,
realmofhistory.com,,,pro-science,,
redorbit.com,,,pro-science,,
researchgate.net,,,pro-science,,
resourcewatch.org,,,pro-science,,
retractionwatch.com,,,pro-science,,
sagepub.com,,,pro-science,,
scicentral.com,,,pro-science,,
sciencebasedmedicine.org,,,pro-science,,
scienceblogs.com,,,pro-science,,
sciencedaily.com,,,pro-science,,
sciencedirect.com,,,pro-science,,
sciencehistory.org,,,pro-science,,
scienceillustrated.com.au,,,pro-science,,
sciencemag.org,,,pro-science,,
sciencemediacentre.org,,,pro-science,,
sciencenews.org,,,pro-science,,
sciencetrends.com,,,pro-science,,
sciencealert.com,,,pro-science,,
scientificamerican.com,,,pro-science,,
ucsd.edu,,,pro-science,,
seeker.com,,,pro-science,,
singularityhub.com,,,pro-science,,
skeptic.com,,,pro-science,,
skepticalraptor.com,,,pro-science,,
skepticalscience.com,,,pro-science,,
skepticink.com,,,pro-science,,
skeptoid.com,,,pro-science,,
skyandtelescope.com,,,pro-science,,
smithsonianmag.com,,,pro-science,,
societyforscience.org,,,pro-science,,
space.com,,,pro-science,,
techxplore.com,,,pro-science,,
aip.org,,,pro-science,,
bmj.com,,,pro-science,,
the-scientist.com,,,pro-science,,
skepdic.com,,,pro-science,,
watchers.news,,,pro-science,,
treehugger.com,,,pro-science,,
blogspot.com,,,satire,,
ucsusa.org,,,pro-science,,
universetoday.com,,,pro-science,,
energy.gov,,,pro-science,,
vaxopedia.org,,,pro-science,,
verywell.com,,,pro-science,,
webmd.com,,,pro-science,,
whatstheharm.net,,,pro-science,,
who.int,,,pro-science,,
wmo.int,,,pro-science,,
zmescience.com,,,pro-science,,
apa.org,,,pro-science,,
significancemagazine.com,,,pro-science,,
unenvironment.org,,,pro-science,,
21stcenturywire.com,,,conspiracy,,conspiracy
369news.net,,,conspiracy,,
911truth.org,,,conspiracy,,
asheepnomore.net,,,conspiracy,,
abeldanger.org,,,conspiracy,,
abovetopsecret.com,,,conspiracy,,conspiracy
latitudes.org,,,conspiracy,,
activistpost.com,,,conspiracy,red,conspiracy
awdnews.com,,,conspiracy,,conspiracy
ageofautism.com,,,conspiracy,,
allianceforadvancedhealth.com,,,conspiracy,,
anh-usa.org,,,conspiracy,,
alt-market.com,,,conspiracy,,
amtvmedia.com,,,conspiracy,,rumor
alternativenewsnetwork.net,,,conspiracy,,
alternativenews.com,,,conspiracy,,
althealthworks.com,,,conspiracy,,
americandigitalnews.com,,,conspiracy,,
americanfreepress.net,,,conspiracy,,conspiracy
ahtribune.com,,,conspiracy,orange,unreliable
aim4truth.org,,,conspiracy,,
americanintelligencereport.com,,,conspiracy,,
ancient-code.com,,,conspiracy,,junksci
ancient-origins.net,,,conspiracy,,
andersoninstitute.com,,,conspiracy,,
anonews.co,,,conspiracy,red,unreliable
anotherdayintheempire.com,,,conspiracy,,bias
answersingenesis.org,,,conspiracy,,
antinewsnetwork.com,,,conspiracy,,
ae911truth.org,,,conspiracy,,
asia-pacificresearch.com,,,conspiracy,,unreliable
assassinationscience.com,,,conspiracy,,conspiracy
australiannationalreview.com,,,conspiracy,,
autisminvestigated.com,,,conspiracy,,
autismspeaks.org,,,conspiracy,,
awarenessact.com,,,conspiracy,orange,conspiracy
beholdisrael.org,,,conspiracy,,
biologos.org,,,conspiracy,,
blacklistednews.com,,,conspiracy,,clickbait
catholic.org,,,conspiracy,,
centerforsecuritypolicy.org,,,conspiracy,,bias
charismanews.com,,,conspiracy,,bias
carm.org,,,conspiracy,,
cbn.com,,,conspiracy,,
creation.com,,,conspiracy,,
christianscience.com,,,conspiracy,,
christiantimesnewspaper.com,,,conspiracy,black,rumor
christiantoday.info,,,conspiracy,black,
climatechangedispatch.com,,,conspiracy,,
climatedepot.com,,,conspiracy,,
judithcurry.com,,,conspiracy,,
climatism.blog,,,conspiracy,,
coasttocoastam.com,,,conspiracy,,unreliable
collective-evolution.com,,,conspiracy,red,junksci
collectivelyconscious.net,,,conspiracy,,junksci
cfact.org,,,conspiracy,,
consciouslifenews.com,,,conspiracy,,junksci
conspiracydailyupdate.com,,,conspiracy,,
conspiracyplanet.com,,,conspiracy,,conspiracy
cosmicintelligenceagency.com,,,conspiracy,,
countdowntozerotime.com,,,conspiracy,,conspiracy
countercurrentnews.com,,,conspiracy,,bias
counterpropa.com,,,conspiracy,,
counterpsyops.com,,,conspiracy,,conspiracy
geopolitics.co,,,conspiracy,,
creationwiki.org,,,conspiracy,,
csglobe.com,,,conspiracy,,
curiousmindmagazine.com,,,conspiracy,,
dailygrail.com,,,conspiracy,,
dailyhealthpost.com,,,conspiracy,,
dailyoccupation.com,,,conspiracy,black,conspiracy
darkjournalist.com,,,conspiracy,,
dataasylum.com,,,conspiracy,,conspiracy
davidicke.com,,,conspiracy,,
davidwolfe.com,,,conspiracy,orange,conspiracy
debunkingskeptics.com,,,conspiracy,,bias
disclose.tv,,,conspiracy,black,satire
discovery.org,,,conspiracy,,
disobedientmedia.com,,,conspiracy,,
doctoroz.com,,,conspiracy,,
draxe.com,,,conspiracy,,
ewao.com,,,conspiracy,,junksci
earthpulse.com,,,conspiracy,,
econewsmedia.org,,,conspiracy,,
ecowatch.com,,,conspiracy,,political
educateinspirechange.org,,,conspiracy,,
educate-yourself.org,,,conspiracy,,conspiracy
eluxemagazine.com,,,conspiracy,,
endtimeheadlines.org,,,conspiracy,red,
enlightened-planet.com,,,conspiracy,,
ewg.org,,,conspiracy,,
escapeallthesethings.com,,,conspiracy,,
everynewshere.com,,,conspiracy,black,
godandscience.org,,,conspiracy,,
evolutionnews.org,,,conspiracy,,
extraordinaryinfo.com,,,conspiracy,,
faithpanda.com,,,conspiracy,,
familysurvivalheadlines.com,,,conspiracy,,
fellowshipoftheminds.com,,,conspiracy,red,conspiracy
ff911truthandunity.org,,,conspiracy,,
foodbabe.com,,,conspiracy,,junksci
foodmatters.com,,,conspiracy,,
foreverconscious.com,,,conspiracy,,
thefreethoughtproject.com,,,conspiracy,,unreliable
freedomadvocates.org,,,conspiracy,,
freedomainradio.com,,,conspiracy,,
friendsofscience.org,,,conspiracy,,
fromthetrenchesworldreport.com,,,conspiracy,,conspiracy
geoengineeringwatch.org,,,conspiracy,,junksci
getcancerremedies.com,,,conspiracy,,
globalhealingcenter.com,,,conspiracy,,
globalresearch.ca,,,conspiracy,,conspiracy
globalskywatch.com,,,conspiracy,,
godlikeproductions.com,,,conspiracy,,conspiracy
gotquestions.org,,,conspiracy,,
govtslaves.com,,,conspiracy,,
greenpeace.org,,,conspiracy,,
gulagbound.com,,,conspiracy,,bias
haarp.net,,,conspiracy,,
thehealthconsciousness.com,,,conspiracy,,
healtheternally.com,,,conspiracy,,
healthimpactnews.com,,,conspiracy,,junksci
healthnutnews.com,,,conspiracy,orange,junksci
hsionline.com,,,conspiracy,,
healthy-holistic-living.com,,,conspiracy,,junksci
healthy-vibes.com,,,conspiracy,,
hellochristian.com,,,conspiracy,yellow,
savethemales.ca,,,conspiracy,,
alexanderhiggins.com,,,conspiracy,,
holylandnutrition.com,,,conspiracy,,
humansarefree.com,,,conspiracy,,conspiracy
ilovenativeamericans.us,,,conspiracy,,
iceagenow.info,,,conspiracy,,
iflscience.com,,,conspiracy,,
ihealthtube.com,,,conspiracy,,
illuminati-news.com,,,conspiracy,,conspiracy
illuminatiwatcher.com,,,conspiracy,,
independentlivingnews.com,,,conspiracy,,
independentsciencenews.org,,,conspiracy,,
infiniteunknown.net,,,conspiracy,,conspiracy
informationclearinghouse.info,,,conspiracy,,conspiracy
infowars.com,,,conspiracy,red,conspiracy
icr.org,,,conspiracy,,junksci
responsibletechnology.org,,,conspiracy,,junksci
intellihub.com,,,conspiracy,,conspiracy
climatescienceinternational.org,,,conspiracy,,
investmentwatchblog.com,,,conspiracy,,bias
iowaclimate.org,,,conspiracy,,
israelislamandendtimes.com,,,conspiracy,,
jeffereyjaxen.com,,,conspiracy,,
jesusdaily.com,,,conspiracy,,
jesus-is-savior.com,,,conspiracy,,conspiracy
jewsnews.co.il,,,conspiracy,,unreliable
jonesreport.com,,,conspiracy,,conspiracy
junkscience.com,,,conspiracy,,
knowledgeoftoday.org,,,conspiracy,,conspiracy
larouchepac.com,,,conspiracy,,
learntherisk.org,,,conspiracy,,
libertyvideos.org,,,conspiracy,,conspiracy
lifespa.com,,,conspiracy,,
liveaction.org,,,conspiracy,,
livestrong.com,,,conspiracy,,
livingresistance.com,,,conspiracy,,
livingwhole.org,,,conspiracy,,
mediafactwatch.com,,,conspiracy,,
mediaroots.org,,,conspiracy,,
medicine.news,,,conspiracy,,
medusamagazine.com,,,conspiracy,,
mercola.com,,,conspiracy,,
mindbodygreen.com,,,conspiracy,,
modernalternativemama.com,,,conspiracy,,
morningledger.com,,,conspiracy,,unreliable
muricatoday.com,,,conspiracy,,
nvic.org,,,conspiracy,,
naturalawakeningsmag.com,,,conspiracy,,
naturalcures.com,,,conspiracy,,
naturalcuresnotmedicine.info,,,conspiracy,,
naturalhealth365.com,,,conspiracy,,
naturalmedicineteam.com,,,conspiracy,,
naturalnews.com,,,conspiracy,red,junksci
naturalsociety.com,,,conspiracy,,
naturallysavvy.com,,,conspiracy,,
needtoknow.news,,,conspiracy,,
neonnettle.com,,,conspiracy,black,conspiracy
neuronation.com,,,conspiracy,,
newamericannews.com,,,conspiracy,,
newsinsideout.com,,,conspiracy,,
newstarget.com,,,conspiracy,,conspiracy
newsbud.com,,,conspiracy,,
nodisinfo.com,,,conspiracy,,conspiracy
nowtheendbegins.com,,,conspiracy,red,conspiracy
nutritionfacts.org,,,conspiracy,,reliable
occupyyourself.org,,,conspiracy,,
off-guardian.org,,,conspiracy,,bias
organicfacts.net,,,conspiracy,,
ourhealthguides.com,,,conspiracy,,
pakalertpress.com,,,conspiracy,,fake
peta.org,,,conspiracy,,
politicalblindspot.com,,,conspiracy,,conspiracy
populartechnology.net,,,conspiracy,,
prepareforchange.net,,,conspiracy,,
pressfortruth.ca,,,conspiracy,,
principia-scientific.org,,,conspiracy,,
prisonplanet.com,,,conspiracy,,conspiracy
propornot.com,,,conspiracy,,
prophecynewswatch.com,,,conspiracy,,
prophecytoday.com,,,conspiracy,,
qanon.pub,,,conspiracy,,
rapturenewsnetwork.com,,,conspiracy,,
realjewnews.com,,,conspiracy,,
realnews24.com,,,conspiracy,,
realfarmacy.com,,,conspiracy,,junksci
redoubtnews.com,,,conspiracy,,
reflectionofmind.org,,,conspiracy,,
religionmind.com,,,conspiracy,black,fake
rense.com,,,conspiracy,,conspiracy
returntonow.net,,,conspiracy,,
revolutionradio.org,,,conspiracy,,
sanevax.org,,,conspiracy,,
sciencefactz.com,,,conspiracy,,
sciencevibe.com,,,conspiracy,,
secretsofthefed.com,,,conspiracy,,conspiracy
sgtreport.com,,,conspiracy,,
sheepkillers.com,,,conspiracy,,conspiracy
shoebat.com,,,conspiracy,,conspiracy
sott.net,,,conspiracy,,
simpleorganicmedicine.com,,,conspiracy,,
skeptiko.com,,,conspiracy,,conspiracy
southfront.org,,,conspiracy,,
space.news,,,conspiracy,,
stormcloudsgathering.com,,,conspiracy,,fake
stormfront.org,,,conspiracy,,
sustainablepulse.com,,,conspiracy,,
theantimedia.com,,,conspiracy,,
theaware.net,,,conspiracy,,
thecommonsenseshow.com,,,conspiracy,,fake
thecontroversialfiles.net,,,conspiracy,,fake
corbettreport.com,,,conspiracy,,conspiracy
crusaderjournal.com,,,conspiracy,,
thedailycheck.net,,,conspiracy,,
thedailyconspiracy.com,,,conspiracy,,
thedailysheeple.com,,,conspiracy,,conspiracy
theearthchild.co.za,,,conspiracy,,
eutimes.net,,,conspiracy,red,
theeventchronicle.com,,,conspiracy,red,conspiracy
theforbiddenknowledge.com,,,conspiracy,,conspiracy
greanvillepost.com,,,conspiracy,,conspiracy
theheartysoul.com,,,conspiracy,,
theinternationalreporter.org,,,conspiracy,black,
theinternetpost.net,,,conspiracy,black,fake
thelastgreatstand.com,,,conspiracy,,fake
thelibertybeacon.com,,,conspiracy,,conspiracy
themindunleashed.com,,,conspiracy,orange,conspiracy
therundownlive.com,,,conspiracy,,
stream.org,,,conspiracy,,
thetrumpet.com,,,conspiracy,,
thetruthaboutcancer.com,,,conspiracy,,junksci
thetruthseeker.co.uk,,,conspiracy,,fake
wakingtimes.com,,,conspiracy,,junksci
thinkingmomsrevolution.com,,,conspiracy,,
thoughtcrimeradio.net,,,conspiracy,,
thrivemovement.com,,,conspiracy,,
topinfopost.com,,,conspiracy,,clickbait
truepundit.com,,,conspiracy,,bias
trunews.com,,,conspiracy,red,
truthbroadcastnetwork.com,,,conspiracy,,conspiracy
truthchannelpolitics.com,,,conspiracy,,
truthcommand.com,,,conspiracy,,
truththeory.com,,,conspiracy,,
twisted.news,,,conspiracy,,
tyrannyrising.com,,,conspiracy,,
ukcolumn.org,,,conspiracy,,
undergroundhealth.com,,,conspiracy,,
usahitman.com,,,conspiracy,,fake
usawatchdog.com,,,conspiracy,,
vaccines.news,,,conspiracy,,
vaccinesrevealed.com,,,conspiracy,,
vactruth.com,,,conspiracy,,
vaxxter.com,,,conspiracy,,
veteranstoday.com,,,conspiracy,,bias
vigilantcitizen.com,,,conspiracy,,fake
viralnewsnetwork.net,,,conspiracy,,
voiceofamericatv.com,,,conspiracy,,
wakeup-world.com,,,conspiracy,,
wattsupwiththat.com,,,conspiracy,,
anonhq.com,,,conspiracy,red,unreliable
wearechange.org,,,conspiracy,red,bias
wellnessachiever.net,,,conspiracy,,
whale.to,,,conspiracy,,
whatreallyhappened.com,,,conspiracy,,conspiracy
whatdoesitmean.com,,,conspiracy,red,conspiracy
whydontyoutrythis.com,,,conspiracy,,junksci
wikispooks.com,,,conspiracy,,conspiracy
worldaffairsbrief.com,,,conspiracy,,
worldtruth.tv,,,conspiracy,red,conspiracy
x22report.com,,,conspiracy,,
yournewswire.com,,,conspiracy,black,clickbait
zerohedge.com,,,conspiracy,orange,conspiracy
mediabiasfactcheck.com,,,conspiracy,,
100percentfedup.com,,,fake-news,red,bias
10news.one,,,fake-news,,
12minutos.com,,,fake-news,black,
us24news.com,,,fake-news,,
247newsmedia.com,,,fake-news,black,
avoiceformen.com,,,fake-news,,
abcnews-us.com,,,fake-news,,
actionnews3.com,,,fake-news,,
activistmommy.com,,,fake-news,,
ageofshitlords.com,,,fake-news,,
alabamaobserver.com,,,fake-news,black,
allnewspipeline.com,,,fake-news,,unreliable
allenwestrepublic.com,,,fake-news,red,
adflegal.org,,,fake-news,,
alphanewsmn.com,,,fake-news,,
alternativemediasyndicate.com,,,fake-news,,fake
altright.com,,,fake-news,,
amazingnews.net,,,fake-news,,
americatalks.com,,,fake-news,,
acpeds.org,,,fake-news,,
afa.net,,,fake-news,orange,
americanflavor.news,,,fake-news,black,
americasfreedomfighters.com,,,fake-news,red,bias
americanjournalreview.com,,,fake-news,black,
americanlookout.com,,,fake-news,,bias
americanpatriotdaily.com,,,fake-news,,bias
americanpeoplenetwork.com,,,fake-news,black,
americanprides.org,,,fake-news,,
americanprinciplesproject.org,,,fake-news,,
amren.com,,,fake-news,,hate
tfp.org,,,fake-news,,
americanthinker.com,,,fake-news,,bias
americantoday.news,,,fake-news,,rumor
americantruthseekers.com,,,fake-news,,
americanupdater.com,,,fake-news,,
awm.com,,,fake-news,yellow,unreliable
aattp.org,,,fake-news,,
americansfortruth.com,,,fake-news,,
amityunderground.com,,,fake-news,,
anews-24.com,,,fake-news,black,
aurora-news.us,,,fake-news,black,fake
bannedinformation.com,,,fake-news,,
barenakedislam.com,,,fake-news,red,hate
bb4sp.com,,,fake-news,black,
beaware.one,,,fake-news,,
beforeitsnews.com,,,fake-news,black,fake
bigbluevision.org,,,fake-news,black,clickbait
bigleaguepolitics.com,,,fake-news,,
billionbibles.org,,,fake-news,,
bipartisanreport.com,,,fake-news,red,clickbait
blackeyepolitics.com,,,fake-news,,
blackgenocide.org,,,fake-news,,conspiracy
blackpigeonspeaks.com,,,fake-news,,
blingnews.com,,,fake-news,,
bluedotdaily.com,,,fake-news,,
blueinformer.com,,,fake-news,,
bluetribune.com,,,fake-news,,
bluevisionpost.com,,,fake-news,black,
bluevision.news,,,fake-news,black,
bluntforcetruth.com,,,fake-news,,
bongino.com,,,fake-news,,
borderlandalternativemedia.com,,,fake-news,,
breaking911.com,,,fake-news,,clickbait
breakingnews247.net,,,fake-news,,
breakingtop.world,,,fake-news,black,
britainfirst.tv,,,fake-news,,
canadafreepress.com,,,fake-news,,conspiracy
cbsnews.com.co,,,fake-news,,fake
trueactivist.com,,,fake-news,orange,
researchantisemitism.ca,,,fake-news,,
cernovich.com,,,fake-news,,
checkpointasia.net,,,fake-news,,
chinadaily.com.cn,,,fake-news,,
christianaction.org,,,fake-news,,
churchmilitant.com,,,fake-news,,
cityworldnews.com,,,fake-news,,fake
clarionproject.org,,,fake-news,,
clashdaily.com,,,fake-news,black,fake
cloverchronicle.com,,,fake-news,,
cnn-globalnews.com,,,fake-news,,
cnsnews.com,,,fake-news,,
cei.org,,,fake-news,,
concernedwomen.org,,,fake-news,,
conservapedia.com,,,fake-news,,bias
conservative101.com,,,fake-news,,
conservativearmy88.com,,,fake-news,black,
conservativebyte.com,,,fake-news,red,fake
conservativefighters.com,,,fake-news,,fake
conservativefiringline.com,,,fake-news,red,bias
conservativeflashnews.com,,,fake-news,black,fake
conservativefreepress.com,,,fake-news,,
conservativeinfocorner.us,,,fake-news,,
conservativemedia.com,,,fake-news,,
consmovement.com,,,fake-news,,
consnation.com,,,fake-news,black,
conspatriot.com,,,fake-news,,
conservativepoliticus.com,,,fake-news,,
conservativepost.com,,,fake-news,red,
conservativespirit.com,,,fake-news,black,bias
conspiracyinquirer.com,,,fake-news,,
rickwells.us,,,fake-news,black,fake
cair.com,,,fake-news,,
dailybuzzlive.com,,,fake-news,,fake
dailyheadlines.net,,,fake-news,orange,fake
dailyinfobox.com,,,fake-news,black,fake
dailynotify.com,,,fake-news,,
dailypoliticalnewswire.com,,,fake-news,,
dailypresser.com,,,fake-news,black,
dailystormer.name,,,fake-news,,
dailyusaupdate.com,,,fake-news,black,fake
dailyworldinformation.com,,,fake-news,,
damreports.com,,,fake-news,,
dangerandplay.com,,,fake-news,,
dcalert.com,,,fake-news,,
dcbluedot.com,,,fake-news,,
dcdirtylaundry.com,,,fake-news,,
thedcgazette.com,,,fake-news,,
debka.com,,,fake-news,,
defendevropa.org,,,fake-news,,
defiantamerica.com,,,fake-news,,
defund.com,,,fake-news,orange,
democraticmoms.com,,,fake-news,black,
democraticreview.com,,,fake-news,,
denverguardian.com,,,fake-news,black,fake
trumpers.online,,,fake-news,,
deplorablekel.com,,,fake-news,,
deplorablemovement2020.news,,,fake-news,,
discoverthenetworks.org,,,fake-news,,
discoverytheword.com,,,fake-news,,
donaldtrumpnews.co,,,fake-news,black,fake
donaldtrumppotus45.com,,,fake-news,black,
downtrend.com,,,fake-news,red,fake
drainingtheswamp.info,,,fake-news,,
eaglerising.com,,,fake-news,red,
earthnews2016.com,,,fake-news,,
embols.com,,,fake-news,black,fake
empireherald.com,,,fake-news,black,fake
en-volve.com,,,fake-news,black,
endingthefed.com,,,fake-news,black,bias
enhlive.com,,,fake-news,black,fake
everytownresearch.org,,,fake-news,,
abcbusinessnews.com,,,fake-news,,
exposinggovernment.com,,,fake-news,,
factcheckingturkey.com,,,fake-news,,
factswanted.com,,,fake-news,,
frc.org,,,fake-news,,
farsnews.com,,,fake-news,,
fbnewscycle.com,,,fake-news,,
federalistnation.com,,,fake-news,black,
federalisttribune.com,,,fake-news,black,
flashnewscorner.com,,,fake-news,black,fake
usafortrumponline.com,,,fake-news,,
floridasunpost.com,,,fake-news,black,fake
focusonthefamily.com,,,fake-news,,
france24-tv.com,,,fake-news,,
freakoutnation.com,,,fake-news,,bias
freepatriotpost.com,,,fake-news,,
freespeechtime.net,,,fake-news,,
freedomdaily.com,,,fake-news,black,fake
freedomlibertynews.com,,,fake-news,,
freedomnewsreport.com,,,fake-news,,
freedomsfinalstand.com,,,fake-news,black,
freedomproject.com,,,fake-news,,
theusa-news.com,,,fake-news,black,fake
frontpagemag.com,,,fake-news,red,bias
fury.news,,,fake-news,red,
fwdnow.com,,,fake-news,,
pamelageller.com,,,fake-news,orange,conspiracy
geologyin.com,,,fake-news,,
girlsjustwannahaveguns.com,,,fake-news,,
globalinfotoday.com,,,fake-news,,
globalpoliticsnow.com,,,fake-news,black,fake
globemagazine.com,,,fake-news,,
thegoodlordabove.com,,,fake-news,,
godfatherpolitics.com,,,fake-news,,
goneleft.com,,,fake-news,,fake
goodgopher.com,,,fake-news,,
gop.gov,,,fake-news,,
thegopwatchdog.com,,,fake-news,,
gotnews.com,,,fake-news,red,
greatamericanrepublic.com,,,fake-news,,
hangthebankers.com,,,fake-news,,conspiracy
hardnews.network,,,fake-news,,
hawarnews.com,,,fake-news,,
heartland.org,,,fake-news,,bias
hoggwatch.com,,,fake-news,,
ihatethemedia.com,,,fake-news,,
ihavethetruth.com,,,fake-news,orange,bias
ilovemyfreedom.org,,,fake-news,black,bias
ihypocrite.net,,,fake-news,,
identityevropa.com,,,fake-news,,
ifyouonlynews.com,,,fake-news,,unreliable
illegalaliencrimereport.com,,,fake-news,,
illicitinfo.com,,,fake-news,,
imowired.com,,,fake-news,,
infogalactic.com,,,fake-news,,
informationliberation.com,,,fake-news,,
informedowners.com,,,fake-news,,
infoscum.com,,,fake-news,,
ihr.org,,,fake-news,,hate
profam.org,,,fake-news,,
israelvideonetwork.com,,,fake-news,,
itaglive.com,,,fake-news,,fake
jewwatch.com,,,fake-news,,
joeforamerica.com,,,fake-news,orange,
jookos.com,,,fake-news,red,
judicialwatch.org,,,fake-news,red,political
justthefacts.org,,,fake-news,,
knightstemplarinternational.com,,,fake-news,,
kcna.kp,,,fake-news,,
ladbible.com,,,fake-news,,
ladylibertysnews.com,,,fake-news,black,
learnprogress.org,,,fake-news,,fake
leftexposed.org,,,fake-news,,
lewrockwell.com,,,fake-news,,bias
liberalplug.com,,,fake-news,black,fake
liberalsociety.com,,,fake-news,,
liberalspeak.com,,,fake-news,,
libertyalliance.com,,,fake-news,black,fake
libertybrief.com,,,fake-news,,
liberty-courier.com,,,fake-news,black,
libertyisviral.com,,,fake-news,,
libertyunyielding.com,,,fake-news,,bias
libertywritersnews.com,,,fake-news,black,clickbait
londonwebnews.com,,,fake-news,black,
loonwatch.com,,,fake-news,,
loser.com,,,fake-news,,
lucianne.com,,,fake-news,,
madamericannetwork.com,,,fake-news,,
madworldnews.com,,,fake-news,black,
magadailyreport.com,,,fake-news,,
magapill.com,,,fake-news,,
magavoter.com,,,fake-news,,
martinlutherking.org,,,fake-news,,
mbganews.com,,,fake-news,,
mediazone.news,,,fake-news,black,rumor
metapedia.org,,,fake-news,,
middleamericandemocrat.com,,,fake-news,,
meforum.org,,,fake-news,,
memri.org,,,fake-news,,
yiannopoulos.net,,,fake-news,,
mixi.media,,,fake-news,,
molonlabemedia.com,,,fake-news,,bias
moonbattery.com,,,fake-news,,
movingleft.com,,,fake-news,,
moveon.org,,,fake-news,,
mrcblog.com,,,fake-news,,
myrightamerica.com,,,fake-news,,
myzonetoday.com,,,fake-news,,fake
mygoogle.ca,,,fake-news,,
natall.com,,,fake-news,,
nationaleconomicseditorial.com,,,fake-news,,
nationalenquirer.com,,,fake-news,,
npiamerica.org,,,fake-news,,hate
nationalvanguard.org,,,fake-news,,hate
powerofnative.com,,,fake-news,,
indigenous.club,,,fake-news,,
neverrepublican.com,,,fake-news,,
nevo.news,,,fake-news,black,unreliable
newcenturytimes.com,,,fake-news,orange,unreliable
newnation.org,,,fake-news,,
newpoliticstoday.com,,,fake-news,black,fake
newsandstoriesfromusa.com,,,fake-news,,
newsblaze.com,,,fake-news,,
newschicken.com,,,fake-news,,
newsconservative.com,,,fake-news,,
newsfeedhunter.com,,,fake-news,black,
newsprocession.com,,,fake-news,,
newsuptoday.com,,,fake-news,,
newswithviews.com,,,fake-news,,fake
newsammo.com,,,fake-news,,
newsbreakshere.com,,,fake-news,black,fake
newsner.com,,,fake-news,,
newswars.com,,,fake-news,,
nmws.us,,,fake-news,,
noscomunicamos.com,,,fake-news,,
nowthisnews.com,,,fake-news,,
oathkeepers.org,,,fake-news,,bias
occupydemocrats.com,,,fake-news,black,clickbait
onlineconservativepress.com,,,fake-news,,fake
openmagazines.com,,,fake-news,black,fake
oppositionreport.com,,,fake-news,,
oureyeonislam.com,,,fake-news,,
overpassesforamerica.com,,,fake-news,,
pacificpundit.com,,,fake-news,,
patribotics.blog,,,fake-news,,
patriotbeacon.com,,,fake-news,,
patriotbeat.com,,,fake-news,,
patriotcrier.com,,,fake-news,,
patriotfires.com,,,fake-news,,
patriothangout.com,,,fake-news,black,
patriotjournal.org,,,fake-news,,
patriotupdate.com,,,fake-news,,bias
patrioticexpress.com,,,fake-news,,
patrioticviralnews.com,,,fake-news,,
patriotsvoice.info,,,fake-news,,
personalliberty.com,,,fake-news,,
plymouthpatriotpost.com,,,fake-news,,
pmnightlynews.com,,,fake-news,,
timespolice.com,,,fake-news,,
politicalears.com,,,fake-news,,unreliable
politicalinbox.com,,,fake-news,,
thepoliticalinsider.com,,,fake-news,,conspiracy
politicalmayhem.news,,,fake-news,,
politicalsitenews.com,,,fake-news,,fake
politicalstate.org,,,fake-news,,
politicoinfo.com,,,fake-news,,
politicslive.net,,,fake-news,,
politifact.news,,,fake-news,,
powderedwigsociety.com,,,fake-news,red,
prageru.com,,,fake-news,,
president45donaldtrump.com,,,fake-news,black,fake
prideof-america.org,,,fake-news,,
prntly.com,,,fake-news,black,fake
proamericanews.com,,,fake-news,,fake
progresstribune.com,,,fake-news,,
progressivestoday.com,,,fake-news,,bias
projectpurge.com,,,fake-news,,
proudleader.com,,,fake-news,black,
proud-patriots.com,,,fake-news,,
puppetstringnews.com,,,fake-news,,
redrocktribune.com,,,fake-news,black,fake
quillette.com,,,fake-news,,
react365.com,,,fake-news,black,fake
readconservatives.news,,,fake-news,black,bias
realconservativesunite.com,,,fake-news,,
realtimepolitics.com,,,fake-news,,bias
redcountry.us,,,fake-news,black,fake
redice.tv,,,fake-news,,
redinfo.us,,,fake-news,black,
redpeople.us,,,fake-news,,
redpolitics.us,,,fake-news,,
rightsidenews.com,,,fake-news,red,
rrtribune.com,,,fake-news,,
redstatejournalist.com,,,fake-news,,
redstatepundit.com,,,fake-news,,
redstatewatcher.com,,,fake-news,black,bias
